id,timestamp,node_id,scheduled_trips,foot_traffic,ridership_volume,temp_c,humidity_pct,precip_mm,wind_speed_kmh,weather_condition,is_rain,congestion_score,risk_level,is_synthetic
164609,2026-03-27T20:00:00,MAA_CENTRAL_STATION,32,14950,5322,30.5,80,0.0,17.7,Sunny & Warm,0,98.5,CRITICAL,1
164610,2026-03-27T21:00:00,MAA_CENTRAL_STATION,12,8953,1655,30.5,82,0.0,21.6,Sunny & Warm,0,67.5,HIGH,1
164611,2026-03-27T22:00:00,MAA_CENTRAL_STATION,12,3782,2280,28.0,83,0.0,12.8,Sunny & Warm,0,51.7,MODERATE,1
164612,2026-03-27T23:00:00,MAA_CENTRAL_STATION,12,1160,1044,27.6,85,0.0,12.6,Sunny & Warm,0,20.9,LOW,1
164613,2026-03-28T00:00:00,MAA_CENTRAL_STATION,6,737,663,27.1,89,0.0,12.6,Humid / Overcast,0,23.0,LOW,1
164614,2026-03-28T01:00:00,MAA_CENTRAL_STATION,6,737,663,27.2,86,0.0,6.4,Humid / Overcast,0,23.0,LOW,1
164615,2026-03-28T02:00:00,MAA_CENTRAL_STATION,6,722,649,26.3,90,0.0,7.6,Humid / Overcast,0,22.5,LOW,1
164616,2026-03-28T03:00:00,MAA_CENTRAL_STATION,6,768,691,26.6,87,0.0,7.4,Humid / Overcast,0,24.0,LOW,1
164617,2026-03-28T04:00:00,MAA_CENTRAL_STATION,6,789,710,27.2,88,0.0,6.5,Humid / Overcast,0,24.6,LOW,1
164618,2026-03-28T05:00:00,MAA_CENTRAL_STATION,12,1177,1059,27.9,86,0.0,4.8,Humid / Overcast,0,21.2,LOW,1
164619,2026-03-28T06:00:00,MAA_CENTRAL_STATION,12,3001,1874,27.4,82,0.0,7.1,Humid / Overcast,0,42.0,MODERATE,1
164620,2026-03-28T07:00:00,MAA_CENTRAL_STATION,12,3733,1916,27.7,77,0.0,8.6,Sunny & Warm,0,46.1,MODERATE,1
164621,2026-03-28T08:00:00,MAA_CENTRAL_STATION,12,5209,1935,30.4,79,0.0,8.6,Sunny & Warm,0,53.6,MODERATE,1
164622,2026-03-28T09:00:00,MAA_CENTRAL_STATION,12,6485,1677,30.3,75,0.0,13.9,Sunny & Warm,0,55.9,MODERATE,1
164623,2026-03-28T10:00:00,MAA_CENTRAL_STATION,12,8968,1686,32.8,69,0.0,10.9,Sunny & Warm,0,68.1,HIGH,1
164624,2026-03-28T11:00:00,MAA_CENTRAL_STATION,20,10292,2976,34.2,64,0.0,15.4,Sunny & Warm,0,75.9,HIGH,1
164625,2026-03-28T12:00:00,MAA_CENTRAL_STATION,20,10542,3016,35.6,70,0.0,17.4,Hot Summer Spell,0,77.5,HIGH,1
164626,2026-03-28T13:00:00,MAA_CENTRAL_STATION,20,11720,3254,34.1,64,0.0,16.2,Sunny & Warm,0,85.3,CRITICAL,1
164627,2026-03-28T14:00:00,MAA_CENTRAL_STATION,20,13626,3823,35.7,61,0.0,17.9,Hot Summer Spell,0,98.5,CRITICAL,1
164628,2026-03-28T15:00:00,MAA_CENTRAL_STATION,20,16474,2814,35.0,63,0.0,23.3,Coastal Sea Breeze,0,98.5,CRITICAL,1
164629,2026-03-28T16:00:00,MAA_CENTRAL_STATION,28,20409,3716,35.4,72,0.0,27.6,Coastal Sea Breeze,0,98.5,CRITICAL,1
164630,2026-03-28T17:00:00,MAA_CENTRAL_STATION,28,22845,3791,34.9,67,0.0,25.1,Coastal Sea Breeze,0,98.5,CRITICAL,1
164631,2026-03-28T18:00:00,MAA_CENTRAL_STATION,28,23301,3697,33.0,70,0.0,19.5,Sunny & Warm,0,98.5,CRITICAL,1
164632,2026-03-28T19:00:00,MAA_CENTRAL_STATION,28,22728,4166,30.8,84,0.0,20.0,Sunny & Warm,0,98.5,CRITICAL,1
164633,2026-03-28T20:00:00,MAA_CENTRAL_STATION,28,19365,4430,29.7,83,0.0,24.6,Sunny & Warm,0,98.5,CRITICAL,1
164634,2026-03-28T21:00:00,MAA_CENTRAL_STATION,28,15276,4862,28.9,88,0.0,18.2,Sunny & Warm,0,98.5,CRITICAL,1
164635,2026-03-28T22:00:00,MAA_CENTRAL_STATION,12,10149,1915,28.5,86,0.0,21.6,Sunny & Warm,0,77.1,HIGH,1
164636,2026-03-28T23:00:00,MAA_CENTRAL_STATION,12,4144,1864,27.3,96,0.0,11.6,Sunny & Warm,0,47.4,MODERATE,1
164637,2026-03-29T00:00:00,MAA_CENTRAL_STATION,6,753,677,26.2,89,0.0,11.8,Humid / Overcast,0,23.5,LOW,1
164638,2026-03-29T01:00:00,MAA_CENTRAL_STATION,6,742,667,27.2,83,0.0,13.4,Humid / Overcast,0,23.2,LOW,1
164639,2026-03-29T02:00:00,MAA_CENTRAL_STATION,6,797,717,27.8,90,0.0,5.9,Humid / Overcast,0,24.9,LOW,1
164640,2026-03-29T03:00:00,MAA_CENTRAL_STATION,6,743,668,26.7,96,0.0,10.8,Humid / Overcast,0,23.2,LOW,1
