stop_id,stop_name,stop_lat,stop_lon,zone_id,node_id
MAS01,Puratchi Thalaivar Dr. M.G.R. Central & Metro Hub - Gate/Platform 1,13.0827,80.2755,MAA_CENTRAL_STATION,MAA_CENTRAL_STATION
MAS02,Puratchi Thalaivar Dr. M.G.R. Central & Metro Hub - Gate/Platform 2,13.0828,80.2756,MAA_CENTRAL_STATION,MAA_CENTRAL_STATION
CMRL_CEN,Puratchi Thalaivar Dr. M.G.R. Central & Metro Hub - Gate/Platform 3,13.0829,80.2757,MAA_CENTRAL_STATION,MAA_CENTRAL_STATION
MTC_MRN01,Marina Beach & Light House Promenade - Gate/Platform 1,13.05,80.2824,MAA_MARINA_BEACH,MAA_MARINA_BEACH
MTC_MRN02,Marina Beach & Light House Promenade - Gate/Platform 2,13.0501,80.2825,MAA_MARINA_BEACH,MAA_MARINA_BEACH
MAM01,T. Nagar Ranganathan Street & Panagal Park - Gate/Platform 1,13.0405,80.2337,MAA_T_NAGAR_RANGANATHAN,MAA_T_NAGAR_RANGANATHAN
MTC_TNG01,T. Nagar Ranganathan Street & Panagal Park - Gate/Platform 2,13.0406,80.2338,MAA_T_NAGAR_RANGANATHAN,MAA_T_NAGAR_RANGANATHAN
MTC_MYL01,Mylapore Kapaleeshwarar Temple & Tank - Gate/Platform 1,13.0335,80.269,MAA_MYLAPORE_KAPALEESHWARAR,MAA_MYLAPORE_KAPALEESHWARAR
MTC_MYL02,Mylapore Kapaleeshwarar Temple & Tank - Gate/Platform 2,13.0336,80.26910000000001,MAA_MYLAPORE_KAPALEESHWARAR,MAA_MYLAPORE_KAPALEESHWARAR
MS01,Chennai Egmore Junction & Government Museum - Gate/Platform 1,13.0784,80.2612,MAA_EGMORE_STATION,MAA_EGMORE_STATION
CMRL_EGM,Chennai Egmore Junction & Government Museum - Gate/Platform 2,13.0785,80.2613,MAA_EGMORE_STATION,MAA_EGMORE_STATION
MTC_BNG01,Besant Nagar Elliot's Beach & Church - Gate/Platform 1,12.9995,80.2715,MAA_BESANT_NAGAR_ELLIOTS,MAA_BESANT_NAGAR_ELLIOTS
MTC_BNG02,Besant Nagar Elliot's Beach & Church - Gate/Platform 2,12.9996,80.2716,MAA_BESANT_NAGAR_ELLIOTS,MAA_BESANT_NAGAR_ELLIOTS
GDY01,Guindy Intermodal Hub & National Park - Gate/Platform 1,13.0067,80.2126,MAA_GUINDY_INTERMODAL,MAA_GUINDY_INTERMODAL
CMRL_GDY,Guindy Intermodal Hub & National Park - Gate/Platform 2,13.0068,80.2127,MAA_GUINDY_INTERMODAL,MAA_GUINDY_INTERMODAL
CMRL_AIR01,Chennai International Airport & Metro Terminal - Gate/Platform 1,12.9815,80.1636,MAA_AIRPORT_MEENAMBAKKAM,MAA_AIRPORT_MEENAMBAKKAM
MTC_AIR01,Chennai International Airport & Metro Terminal - Gate/Platform 2,12.9816,80.1637,MAA_AIRPORT_MEENAMBAKKAM,MAA_AIRPORT_MEENAMBAKKAM
CMRL_ALN01,Kathipara Urban Square & Alandur Interchange - Gate/Platform 1,13.0076,80.2018,MAA_KATHIPARA_JUNCTION,MAA_KATHIPARA_JUNCTION
CMRL_ALN02,Kathipara Urban Square & Alandur Interchange - Gate/Platform 2,13.0077,80.20190000000001,MAA_KATHIPARA_JUNCTION,MAA_KATHIPARA_JUNCTION
MTC_STH01,San Thome Cathedral Basilica & Coast - Gate/Platform 1,13.0336,80.2785,MAA_SANTHOME_BASILICA,MAA_SANTHOME_BASILICA
MTC_STH02,San Thome Cathedral Basilica & Coast - Gate/Platform 2,13.0337,80.2786,MAA_SANTHOME_BASILICA,MAA_SANTHOME_BASILICA
CMBT01,Koyambedu CMBT & Wholesale Market Hub - Gate/Platform 1,13.0694,80.1948,MAA_KOYAMBEDU_CMBT,MAA_KOYAMBEDU_CMBT
CMRL_KYM,Koyambedu CMBT & Wholesale Market Hub - Gate/Platform 2,13.0695,80.1949,MAA_KOYAMBEDU_CMBT,MAA_KOYAMBEDU_CMBT
VLCY01,Phoenix Marketcity & Velachery MRTS - Gate/Platform 1,12.9918,80.2173,MAA_PHOENIX_VELACHERY,MAA_PHOENIX_VELACHERY
MTC_PHX01,Phoenix Marketcity & Velachery MRTS - Gate/Platform 2,12.9919,80.2174,MAA_PHOENIX_VELACHERY,MAA_PHOENIX_VELACHERY
